invocation_index,latency_s,status,launch_time,start_time,end_time
1,1989.7633967921136,200,3483244.444469173,3483244.444545715,3483246.434309112
2,1892.7662330679595,200,3483244.544997369,3483244.545043793,3483246.437810026
3,1793.6514019966123,200,3483244.644653355,3483244.644684903,3483246.438336305
4,1691.738249734044,200,3483244.745201453,3483244.745233701,3483246.436971951
5,1593.8676437363029,200,3483244.844468813,3483244.844505506,3483246.43837315
6,1491.71848827973,200,3483244.945315297,3483244.945353477,3483246.437071965
7,1393.3622823096812,200,3483245.045221682,3483245.04525607,3483246.438618352
8,1292.301754001528,200,3483245.145511713,3483245.145559525,3483246.437861279
9,1193.109238054603,200,3483245.244730788,3483245.244782907,3483246.437892145
10,1092.9303080774844,200,3483245.345029186,3483245.345064838,3483246.437995146
11,1006.8145776167512,200,3483245.444738178,3483245.444773108,3483246.451587686
12,1007.0443782024086,200,3483245.545195783,3483245.545234014,3483246.552278392
13,1007.0571373216808,200,3483245.645522909,3483245.645639003,3483246.65269614
14,1007.4558700434864,200,3483245.745598999,3483245.745644093,3483246.753099963
15,1006.7254737950859,200,3483245.844938327,3483245.844977057,3483246.851702531
16,1006.4254677854478,200,3483245.944726545,3483245.944761083,3483246.951186551
17,1006.9140656851232,200,3483246.044697838,3483246.044732103,3483247.051646169
18,1006.959502119571,200,3483246.1453557,3483246.145400377,3483247.152359879
19,1006.5900138579309,200,3483246.24530741,3483246.245343984,3483247.251933998
20,1007.1224477142096,200,3483246.344473569,3483246.344509073,3483247.351631521
21,1004.4106990098951,200,3483246.445487915,3483246.445527531,3483247.44993823
22,1004.1638291440904,200,3483246.545519938,3483246.545563093,3483247.549726922
23,1004.3596108444035,200,3483246.645553875,3483246.645601694,3483247.649961305
24,1004.4315322302282,200,3483246.744869147,3483246.744897367,3483247.749328899
25,1004.0789791382849,200,3483246.845497131,3483246.845525479,3483247.849604458
26,1004.3408521451056,200,3483246.945437713,3483246.945472022,3483247.949812874
27,1004.9718148075044,200,3483247.045347203,3483247.045383823,3483248.050355638
28,1004.3765688315034,200,3483247.145267078,3483247.145305184,3483248.149681753
29,1005.1269899122417,200,3483247.245556591,3483247.245592209,3483248.250719199
30,1004.0260660462079,200,3483247.345580276,3483247.345611308,3483248.349637374
31,1005.3609269671142,200,3483247.445516572,3483247.445552247,3483248.450913174
32,1005.0613731145861,200,3483247.544729293,3483247.544762191,3483248.549823564
33,1005.0374208949506,200,3483247.644587944,3483247.644624061,3483248.649661482
34,1004.6187369152904,200,3483247.745478304,3483247.745512242,3483248.750130979
35,1004.9837962724268,200,3483247.845227237,3483247.845263756,3483248.850247552
36,1005.237968172878,200,3483247.944792136,3483247.944824902,3483248.95006287
37,1004.5282798819244,200,3483248.045103958,3483248.045135294,3483249.049663574
38,1004.5571820810435,200,3483248.145563521,3483248.145596783,3483249.150153965
39,1004.5773270539939,200,3483248.245409083,3483248.245439805,3483249.250017132
40,1004.8427628353238,200,3483248.34541642,3483248.345447829,3483249.350290592
41,1004.9832561053336,200,3483248.445389061,3483248.445431842,3483249.450415098
42,1005.2604037337003,200,3483248.54549914,3483248.545533764,3483249.550794168
43,1005.0881612114608,200,3483248.645245155,3483248.645278947,3483249.650367108
44,1004.7492259182036,200,3483248.744813475,3483248.744861812,3483249.749611038
45,1004.6297437511384,200,3483248.844782153,3483248.844824848,3483249.849454592
46,1006.6235866397619,200,3483248.944811295,3483248.9448457,3483249.951469287
47,1006.3139158301055,200,3483249.044667135,3483249.04470343,3483250.051017346
48,1005.8752871118486,200,3483249.145118685,3483249.145153273,3483250.15102856
49,1004.9332790076733,200,3483249.245439477,3483249.245475415,3483250.250408694
50,1004.7843451611698,200,3483249.345507054,3483249.345541923,3483250.350326268
51,1005.2716787904501,200,3483249.444590733,3483249.444626679,3483250.449898358
52,1005.4662697948515,200,3483249.545031516,3483249.545074787,3483250.550541057
53,1004.50474396348,200,3483249.645421221,3483249.645458551,3483250.649963295
54,1004.5848400332034,200,3483249.745501806,3483249.745539954,3483250.750124794
55,1004.8127938061953,200,3483249.845437497,3483249.845473647,3483250.850286441
56,1005.8119781315329,200,3483249.945203318,3483249.945237137,3483250.951049115
57,1005.0738491117954,200,3483250.044873304,3483250.044918854,3483251.049992703
58,1004.5876298099756,200,3483250.145530259,3483250.145565728,3483251.150153358
59,1004.5789675787091,200,3483250.245105899,3483250.24514672,3483251.249725688
