invocation_index,latency_s,status,launch_time,start_time,end_time
1,3271.828361786902,200,3474471.445842653,3474471.445895608,3474474.71772397
2,3233.746957965195,200,3474471.448083343,3474471.448112733,3474474.681859691
3,3224.109611939639,200,3474471.450763651,3474471.450799513,3474474.674909125
4,3186.3557770848274,200,3474471.452305748,3474471.452371465,3474474.638727242
5,3244.7444940917194,200,3474471.453844627,3474471.453910333,3474474.698654827
6,3245.040426030755,200,3474471.456877004,3474471.456915569,3474474.701955995
7,3234.409049153328,200,3474471.45833936,3474471.458406318,3474474.692815367
8,3236.228005029261,200,3474471.45989587,3474471.459961258,3474474.696189263
9,3183.770983014256,200,3474471.462781973,3474471.462828715,3474474.646599698
10,3222.622396890074,200,3474471.464229507,3474471.464273328,3474474.686895725
11,3110.316689126193,200,3474471.466719054,3474471.466754266,3474474.577070955
12,3164.8938530124724,200,3474471.468170258,3474471.468206039,3474474.633099892
13,3141.0152963362634,200,3474471.47071647,3474471.470753486,3474474.611768782
14,3208.8443217799067,200,3474471.472445459,3474471.472512721,3474474.681357043
15,3170.721841044724,200,3474471.474083875,3474471.474151985,3474474.644873826
16,3133.9387497864664,200,3474471.47587532,3474471.475902271,3474474.609841021
17,3263.7899317778647,200,3474471.478263418,3474471.478301971,3474474.742091903
18,3156.90416097641,200,3474471.480125113,3474471.480160188,3474474.637064349
19,3229.38343603164,200,3474471.483037055,3474471.483072508,3474474.712455944
20,3212.4354811385274,200,3474471.484324486,3474471.484389132,3474474.696824613
21,3089.217613916844,200,3474471.486593793,3474471.486631987,3474474.575849601
22,3159.656659234315,200,3474471.488142758,3474471.488214078,3474474.647870737
23,3181.1880711466074,200,3474471.489883863,3474471.48991015,3474474.671098221
24,3141.130938194692,200,3474471.492585338,3474471.492621535,3474474.633752473
25,3145.8867518231277,200,3474471.494159053,3474471.494225032,3474474.640111784
26,3241.109704133123,200,3474471.497035703,3474471.497071817,3474474.738181521
27,3241.560329217464,200,3474471.498500733,3474471.498565158,3474474.740125487
28,3146.668482106179,200,3474471.500140755,3474471.500206855,3474474.646875337
29,3167.396416887641,200,3474471.502890765,3474471.502935055,3474474.670331472
30,3175.883525982499,200,3474471.504315057,3474471.504379032,3474474.680262558
31,3190.0937128812075,200,3474471.506014632,3474471.506043363,3474474.696137076
32,3085.0682449527085,200,3474471.508527976,3474471.508564507,3474474.593632752
33,3104.2147330008447,200,3474471.510035843,3474471.51006405,3474474.614278783
34,3162.7440243028104,200,3474471.512586393,3474471.512626358,3474474.675370382
35,3130.1843761466444,200,3474471.514119255,3474471.514188002,3474474.644372378
36,3167.2911378555,200,3474471.516983521,3474471.517028692,3474474.68431983
37,3119.847916997969,200,3474471.518441801,3474471.518487177,3474474.638335094
38,3074.7180874459445,200,3474471.521023639,3474471.521085873,3474474.59580396
39,3093.120452016592,200,3474471.522488238,3474471.522541493,3474474.615661945
40,3033.8466810062528,200,3474471.523982118,3474471.524062638,3474474.557909319
41,3059.1284059919417,200,3474471.526023426,3474471.526058344,3474474.58518675
42,3162.2970863245428,200,3474471.528620241,3474471.528668862,3474474.690965948
43,3140.5700258910656,200,3474471.530188817,3474471.53025574,3474474.670825766
44,3143.295967951417,200,3474471.531998103,3474471.532036191,3474474.675332159
45,3073.1890508905053,200,3474471.534538393,3474471.534574403,3474474.607763454
46,3136.7515181191266,200,3474471.536107012,3474471.536172386,3474474.672923904
47,3143.0637538433075,200,3474471.537965696,3474471.537991918,3474474.681055672
48,3144.732207991183,200,3474471.540772809,3474471.540810139,3474474.685542347
49,3204.56522423774,200,3474471.54222609,3474471.542300385,3474474.746865609
50,3128.9820866659284,200,3474471.543840117,3474471.543907496,3474474.672889583
51,3101.9667140208185,200,3474471.546871036,3474471.546907542,3474474.648874256
52,3128.999660722912,200,3474471.548390889,3474471.548456544,3474474.677456205
53,3137.856997083873,200,3474471.551055896,3474471.551093132,3474474.688950129
54,3195.10449282825,200,3474471.55246136,3474471.552498389,3474474.747602882
55,3139.761085156352,200,3474471.555022599,3474471.555083197,3474474.694844282
56,3115.253146737814,200,3474471.556602502,3474471.556675191,3474474.671928338
57,3151.2610628269613,200,3474471.558810251,3474471.558849003,3474474.710110066
58,3052.6643809862435,200,3474471.560243978,3474471.560284161,3474474.612948542
59,3091.284348629415,200,3474471.562017677,3474471.562045744,3474474.653330093
60,3182.2014818899333,200,3474471.564597667,3474471.564633935,3474474.746835417
61,3104.152123909444,200,3474471.566200094,3474471.566264852,3474474.670416976
62,3148.964003659785,200,3474471.56798732,3474471.568027769,3474474.716991773
63,3127.875484060496,200,3474471.57048818,3474471.570524452,3474474.698399936
64,3137.9392072558403,200,3474471.57216727,3474471.572236151,3474474.710175358
65,3022.370603866875,200,3474471.574016477,3474471.574049532,3474474.596420136
66,3102.0976179279387,200,3474471.576519019,3474471.576558207,3474474.678655825
67,3105.888275895268,200,3474471.578189202,3474471.578257841,3474474.684146117
68,3164.018283132464,200,3474471.581538702,3474471.58156667,3474474.745584953
69,3089.079274330288,200,3474471.583083558,3474471.583163106,3474474.67224238
70,2991.374107077718,200,3474471.584766692,3474471.584828227,3474474.576202334
71,3125.7757958956063,200,3474471.586347282,3474471.586419496,3474474.712195292
72,3147.4508470855653,200,3474471.587953007,3474471.588030356,3474474.735481203
73,3052.024659700692,200,3474471.590908586,3474471.590944154,3474474.642968814
74,2963.042452000081,200,3474471.592315622,3474471.592358713,3474474.555401165
75,3103.529722895473,200,3474471.594782336,3474471.594819881,3474474.698349604
76,3142.985682934522,200,3474471.59606693,3474471.596144895,3474474.739130578
77,3011.6256959736347,200,3474471.598973893,3474471.599019433,3474474.610645129
78,2984.013053122908,200,3474471.6004802,3474471.600548734,3474474.584561787
79,3048.479817342013,200,3474471.602126758,3474471.602191107,3474474.650670924
80,3065.18305791542,200,3474471.605054237,3474471.605091589,3474474.670274647
81,3111.687798053026,200,3474471.606408152,3474471.606472652,3474474.71816045
82,3086.256403941661,200,3474471.60798461,3474471.608072651,3474474.694329055
83,3021.301544737071,200,3474471.610872387,3474471.610910842,3474474.632212387
84,2968.8607808202505,200,3474471.612333407,3474471.612397864,3474474.581258645
85,3129.168155137449,200,3474471.61387251,3474471.613896205,3474474.74306436
86,2951.9743439741437,200,3474471.61652912,3474471.616565638,3474474.568539982
87,2967.412105295807,200,3474471.61798497,3474471.618022239,3474474.585434344
88,3096.161279361695,200,3474471.620439927,3474471.620478328,3474474.716639607
89,3114.588589873165,200,3474471.621889652,3474471.621916478,3474474.736505068
90,2953.498067799956,200,3474471.624308613,3474471.624347378,3474474.577845446
91,3078.664594795555,200,3474471.626390851,3474471.626429569,3474474.705094164
92,3066.9029741548,200,3474471.628061848,3474471.628133249,3474474.695036223
93,3055.0495479255915,200,3474471.630873201,3474471.630913766,3474474.685963314
94,3104.875885881484,200,3474471.632330389,3474471.632395117,3474474.737271003
95,2981.167913880199,200,3474471.633972633,3474471.634020476,3474474.61518839
96,2992.5444782711565,200,3474471.636384907,3474471.636421615,3474474.628966093
97,3102.005674969405,200,3474471.637875613,3474471.637946755,3474474.73995243
98,3075.8142499253154,200,3474471.640820275,3474471.640858677,3474474.716672927
99,3035.673698876053,200,3474471.642289015,3474471.642342066,3474474.678015765
100,2912.823068909347,200,3474471.644872867,3474471.6449151,3474474.557738169
101,3027.8050117194653,200,3474471.64641984,3474471.646500733,3474474.674305745
102,2962.830833159387,200,3474471.647911311,3474471.647990552,3474474.610821385
103,3046.79171461612,200,3474471.650686686,3474471.650724978,3474474.697516693
104,3024.013510905206,200,3474471.651925189,3474471.651999869,3474474.67601338
105,3080.6298591196537,200,3474471.654847204,3474471.654883118,3474474.735512977
106,3061.33042415604,200,3474471.656298341,3474471.656352683,3474474.717683107
107,2919.131530914456,200,3474471.658634122,3474471.658673497,3474474.577805028
108,2950.629187747836,200,3474471.659874313,3474471.659943159,3474474.610572347
109,3010.864586103708,200,3474471.662678593,3474471.662719851,3474474.673584437
110,3036.1142638139427,200,3474471.66432285,3474471.664390167,3474474.700504431
111,3016.2363471463323,200,3474471.665946262,3474471.665972799,3474474.682209146
112,2962.4100136570632,200,3474471.668372605,3474471.668410084,3474474.630820098
