invocation_index,latency_s,status,launch_time,start_time,end_time
1,2435.930844862014,200,3466272.46640123,3466272.466481471,3466274.902412316
2,2400.5400449968874,200,3466272.516764719,3466272.516801306,3466274.917341351
3,2349.169139284641,200,3466272.567188442,3466272.567229895,3466274.916399034
4,2299.155259039253,200,3466272.616774276,3466272.616814914,3466274.915970173
5,2249.8430060222745,200,3466272.666808342,3466272.666861642,3466274.916704648
6,2200.48105623573,200,3466272.717379991,3466272.71741845,3466274.917899506
7,2148.770477157086,200,3466272.766804685,3466272.766840799,3466274.915611276
8,2098.445019684732,200,3466272.817197662,3466272.81723756,3466274.91568258
9,2050.679121166468,200,3466272.866652542,3466272.866698307,3466274.917377428
10,2015.7825541682541,200,3466272.917328661,3466272.917362181,3466274.933144735
11,1950.7046677172184,200,3466272.966721328,3466272.966754693,3466274.917459361
12,1916.558361146599,200,3466273.016722539,3466273.016758217,3466274.933316578
13,1866.0707199014723,200,3466273.067296483,3466273.067335437,3466274.933406157
14,1816.9305520132184,200,3466273.116424612,3466273.11645003,3466274.933380582
15,1749.308391939849,200,3466273.167474254,3466273.167515146,3466274.916823538
16,1698.3307898044586,200,3466273.217108497,3466273.217145307,3466274.915476097
17,1650.3886110149324,200,3466273.267103764,3466273.267137698,3466274.917526309
18,1598.7366382032633,200,3466273.31674406,3466273.316784132,3466274.91552077
19,1543.4109475463629,200,3466273.367352069,3466273.367392828,3466274.910803776
20,1492.0116499997675,200,3466273.416772126,3466273.416810904,3466274.908822554
21,1441.7193341068923,200,3466273.466656137,3466273.466690324,3466274.908409658
22,1391.473867930472,200,3466273.517464133,3466273.517499446,3466274.908973314
23,1342.690187972039,200,3466273.566797144,3466273.566829166,3466274.909519354
24,1291.3581188768148,200,3466273.617396596,3466273.617426311,3466274.90878443
25,1242.233330849558,200,3466273.666584004,3466273.666621292,3466274.908854623
26,1194.3867010995746,200,3466273.716530888,3466273.71656473,3466274.910951431
27,1144.3956410512328,200,3466273.76642352,3466273.76645187,3466274.910847511
28,1093.0020860396326,200,3466273.816524365,3466273.816567433,3466274.909569519
29,1042.3087547533214,200,3466273.867322131,3466273.867369411,3466274.909678166
30,1016.5909468196332,200,3466273.916731332,3466273.916759952,3466274.933350899
31,1007.9015279188752,200,3466273.96676398,3466273.96680108,3466274.974702608
32,1006.8783829919994,200,3466274.016697474,3466274.016734916,3466275.023613299
33,1006.6609750501812,200,3466274.066772899,3466274.066806452,3466275.073467427
34,1007.2843567468226,200,3466274.116995869,3466274.117039137,3466275.124323494
35,1006.4958189614115,200,3466274.16720648,3466274.167245955,3466275.173741774
36,1007.3154820129275,200,3466274.216895462,3466274.216933963,3466275.224249445
37,1006.1266007833185,200,3466274.26642803,3466274.266463871,3466275.272590472
38,1007.8076273202896,200,3466274.316686932,3466274.316726899,3466275.324534526
39,1006.8707438185811,200,3466274.367140236,3466274.367180527,3466275.374051271
40,1007.5741331093011,200,3466274.4164685,3466274.416509694,3466275.424083827
41,1007.2389738634229,200,3466274.466426549,3466274.466469196,3466275.47370817
42,1006.8166530691087,200,3466274.516545398,3466274.516592775,3466275.523409428
43,1007.8983888961377,200,3466274.567193771,3466274.567234612,3466275.575133001
44,1007.7439490705729,200,3466274.616440786,3466274.616480413,3466275.624224362
45,1007.114774081856,200,3466274.667018414,3466274.667056896,3466275.67417167
46,1007.3255239985883,200,3466274.716501594,3466274.716540646,3466275.72386617
47,1007.4581690132618,200,3466274.766688481,3466274.766721174,3466275.774179343
