invocation_index,latency_s,status,launch_time,start_time,end_time
1,4139.9563732557,200,3478068.623684698,3478068.623750507,3478072.76370688
2,4167.024131864309,200,3478068.674796079,3478068.674829428,3478072.84185356
3,4090.4994709417224,200,3478068.724610298,3478068.724642407,3478072.815141878
4,4069.540771190077,200,3478068.773724412,3478068.773753048,3478072.843293819
5,4018.0380130186677,200,3478068.824484178,3478068.824522391,3478072.842560404
6,3953.01694329828,200,3478068.874335617,3478068.874368841,3478072.827385784
7,3910.6675391085446,200,3478068.924126077,3478068.924162881,3478072.83483042
8,3851.1593071743846,200,3478068.974386598,3478068.974414996,3478072.825574303
9,3809.923442080617,200,3478069.023741125,3478069.023778745,3478072.833702187
10,3752.4933628737926,200,3478069.073732252,3478069.073761837,3478072.8262552
11,3714.258632622659,200,3478069.124394269,3478069.124426639,3478072.838685272
12,3656.39882395044,200,3478069.174308673,3478069.174340493,3478072.830739317
13,3600.674645043909,200,3478069.224516987,3478069.224549324,3478072.825223969
14,3567.617569118738,200,3478069.274395735,3478069.274426592,3478072.842044161
15,3515.7488798722625,200,3478069.324049504,3478069.324082456,3478072.839831336
16,3431.1736267991364,200,3478069.37459751,3478069.374626845,3478072.805800472
17,3387.293969281018,200,3478069.424738234,3478069.424768041,3478072.81206201
18,3339.416524861008,200,3478069.474121107,3478069.47416337,3478072.813579895
19,3286.229184828698,200,3478069.524051107,3478069.524088213,3478072.810317398
20,3266.497441567481,200,3478069.574426396,3478069.574465886,3478072.840963328
21,3183.620787225664,200,3478069.624088264,3478069.62412046,3478072.807741247
22,3162.812528666109,200,3478069.67402139,3478069.674053781,3478072.83686631
23,3090.4121259227395,200,3478069.724036451,3478069.72406246,3478072.814474586
24,3059.8828848451376,200,3478069.774829447,3478069.774853735,3478072.83473662
25,3008.91582062468,200,3478069.82479973,3478069.824827377,3478072.833743198
26,2934.7924781031907,200,3478069.874141066,3478069.874156852,3478072.80894933
27,2891.338686924428,200,3478069.923832987,3478069.923847331,3478072.815186018
28,2859.04308501631,200,3478069.974298368,3478069.97432326,3478072.833366345
29,2789.976804051548,200,3478070.02448866,3478070.024521613,3478072.814498417
30,2762.4391382560134,200,3478070.074585931,3478070.074614396,3478072.837053534
31,2712.4810088425875,200,3478070.12451461,3478070.124538539,3478072.837019548
32,2641.850665677339,200,3478070.174449038,3478070.174473863,3478072.816324529
33,2616.7789278551936,200,3478070.224583496,3478070.224608036,3478072.841386964
34,2532.360984943807,200,3478070.274601775,3478070.274628348,3478072.806989333
35,2514.034010004252,200,3478070.324282353,3478070.324306792,3478072.838340802
36,2433.4472860209644,200,3478070.374463769,3478070.374488226,3478072.807935512
37,2385.7677299529314,200,3478070.423838807,3478070.42386338,3478072.80963111
38,2368.2615249417718,200,3478070.474560885,3478070.474586391,3478072.842847916
39,2291.5591560304165,200,3478070.52467958,3478070.52470514,3478072.816264296
40,2264.862830750644,200,3478070.574093436,3478070.574119321,3478072.838982152
41,2185.947559773922,200,3478070.62385332,3478070.623886803,3478072.809834363
42,2161.1578799784184,200,3478070.674057963,3478070.674112443,3478072.835270323
43,2086.31174871698,200,3478070.724176176,3478070.724200757,3478072.810512506
44,2068.5961451381445,200,3478070.774636784,3478070.774661682,3478072.843257827
45,2016.686709132045,200,3478070.82471543,3478070.824740882,3478072.841427591
46,1942.598924972117,200,3478070.874015673,3478070.874045931,3478072.816644856
47,1912.503082305193,200,3478070.924633897,3478070.924659277,3478072.837162359
48,1839.3525970168407,200,3478070.974255474,3478070.974289235,3478072.813641832
49,1784.816715400666,200,3478071.024438609,3478071.024494339,3478072.809311054
50,1760.472761001438,200,3478071.07421,3478071.074234337,3478072.834707098
51,1692.2023077495396,200,3478071.124497714,3478071.124522053,3478072.816724361
52,1638.2694523781538,200,3478071.174123157,3478071.174136277,3478072.812405729
53,1586.070745717734,200,3478071.224696153,3478071.224714035,3478072.810784781
54,1538.580741267651,200,3478071.273976719,3478071.274000038,3478072.812580779
55,1518.9023278653622,200,3478071.324608142,3478071.324633067,3478072.843535395
56,1451.7651540227234,200,3478071.373821667,3478071.373845671,3478072.825610825
57,1403.8577149622142,200,3478071.424676077,3478071.424699242,3478072.828556957
58,1339.495372958481,200,3478071.474108239,3478071.474132056,3478072.813627429
59,1301.1099770665169,200,3478071.52412479,3478071.524150313,3478072.82526029
60,1260.1366857998073,200,3478071.57449914,3478071.57452433,3478072.834661016
61,1201.266307849437,200,3478071.624478005,3478071.624502044,3478072.825768352
62,1167.4224277958274,200,3478071.674441725,3478071.674474146,3478072.841896574
63,1039.6251729689538,200,3478071.724318055,3478071.724343882,3478072.763969055
64,1052.503805141896,200,3478071.773697547,3478071.773714343,3478072.826218148
65,1019.3918831646442,200,3478071.8241551,3478071.824181532,3478072.843573415
