index,function,size,latency_ms,execution_time_sec,type,status,diff
0,fastfouriertransform,small,6138.2,9.574,cold,200,6128.626
1,grayscale,small,2740.0,16.8,cold,200,2723.2
2,genmatrix,small,5426.1,7.357,cold,200,5418.743
3,fastfouriertransform,large,6480.0,4.974,cold,200,6475.026
4,pagerank,small,2812.3,244.048,cold,200,2568.2520000000004
5,resnet,medium,2809.7,164.927,cold,200,2644.7729999999997
6,graphgen,small,7599.0,6.071,cold,200,7592.929
7,fastfouriertransform,small,5456.1,5.176,cold,200,5450.924
8,genmatrix,large,4974.2,0.8069999999999999,cold,200,4973.393
9,resnet,small,3011.3,119.352,cold,200,2891.9480000000003
10,pagerank,small,2227.5,11.323,cold,200,2216.177
11,pagerank,medium,2232.6,49.857,cold,200,2182.743
12,genmatrix,medium,4481.6,0.402,cold,200,4481.198
13,resnet,medium,2366.5,179.63899999999998,cold,200,2186.861
14,graphgen,small,7781.1,2.735,cold,200,7778.365000000001
15,matrixmul,medium,4112.1,511.121,cold,200,3600.9790000000003
16,grayscale,small,1250.3,6.989999999999999,warm,200,1243.31
17,genmatrix,medium,4016.3,0.212,cold,200,4016.088
18,fastfouriertransform,small,4985.7,4.961,cold,200,4980.739
19,matrixmul,small,3727.9,5.173,cold,200,3722.7270000000003
20,linpack,medium,3236.8,648.342,cold,200,2588.458
21,resnet,medium,1690.0,121.699,warm,200,1568.301
22,graphgen,large,7950.1,64.406,cold,200,7885.694
23,mobilenet,large,2456.5,27.87,cold,200,2428.63
24,fastfouriertransform,medium,4374.0,615.4340000000001,cold,200,3758.566
25,fastfouriertransform,large,4291.7,4.885,cold,200,4286.815
26,grayscale,large,3071.5,2720.956,cold,200,350.54399999999987
27,resnet,medium,1330.7,119.263,warm,200,1211.4370000000001
28,resnet,small,685.1,172.671,warm,200,512.4290000000001
29,fastfouriertransform,small,3897.3,4.973,cold,200,3892.327
30,genmatrix,medium,2680.6,0.221,cold,200,2680.379
31,fastfouriertransform,small,4348.7,5.046,cold,200,4343.6539999999995
32,fastfouriertransform,medium,4243.3,644.595,cold,200,3598.705
33,grayscale,medium,2417.9,66.787,cold,200,2351.1130000000003
34,linpack,small,1848.4,5.044,warm,200,1843.356
35,linpack,medium,2398.8,648.0559999999999,cold,200,1750.7440000000001
36,genmatrix,large,2144.1,0.832,cold,200,2143.268
37,grayscale,large,10285.4,2700.859,cold,200,7584.540999999999
38,fastfouriertransform,large,2349.3,5.331,cold,200,2343.969
39,fetchdata,large,3139.8,198.364,cold,200,2941.436
40,genmatrix,small,1715.6,0.135,warm,200,1715.465
41,mobilenet,medium,677.7,18.025,warm,200,659.6750000000001
42,grayscale,large,9910.2,2698.224,cold,200,7211.976000000001
43,pagerank,small,18.6,10.188,warm,200,8.412
44,linpack,small,843.1,5.101999999999999,warm,200,837.998
45,genmatrix,small,1215.6,0.115,warm,200,1215.485
46,linpack,medium,1950.4,643.021,warm,200,1307.3790000000001
47,grayscale,small,936.3,13.55,warm,200,922.75
48,genmatrix,large,902.8,1.043,warm,200,901.757
49,linpack,small,1656.7,5.053,warm,200,1651.647
50,mobilenet,medium,24.6,17.421,warm,200,7.179000000000002
51,mobilenet,small,31.8,26.838,warm,200,4.962
52,grayscale,small,440.8,12.397,warm,200,428.403
53,genmatrix,large,422.5,0.914,warm,200,421.586
54,pagerank,large,362.4,283.141,warm,200,79.25899999999996
55,grayscale,large,8581.8,2718.429,cold,200,5863.370999999999
56,resnet,medium,139.8,134.247,warm,200,5.552999999999997
57,resnet,medium,160.8,119.123,warm,200,41.67700000000001
58,linpack,small,105.4,5.047000000000001,warm,200,100.35300000000001
59,fetchdata,large,1329.1,93.061,warm,200,1236.039
60,mobilenet,small,23.2,17.666,warm,200,5.533999999999999
61,graphgen,small,2123.3,4.097,cold,200,2119.203
62,fetchdata,large,1131.0,99.438,warm,200,1031.562
63,fetchdata,large,833.9,91.491,warm,200,742.409
64,matrixmul,large,20.7,4.976999999999999,warm,200,15.722999999999999
65,fastfouriertransform,medium,1657.8,707.777,warm,200,950.0229999999999
66,matrixmul,large,20.1,4.972,warm,200,15.128
67,mobilenet,large,24.3,17.66,warm,200,6.640000000000001
68,grayscale,large,15562.7,2679.872,cold,200,12882.828000000001
69,graphgen,large,2770.4,63.59,cold,200,2706.81
70,fastfouriertransform,large,1165.0,5.395,warm,200,1159.605
71,pagerank,medium,70.8,51.856,warm,200,18.943999999999996
72,linpack,small,13.6,5.135,warm,200,8.465
73,grayscale,medium,6712.6,79.571,cold,200,6633.029
74,fetchdata,medium,89.7,84.37400000000001,warm,200,5.325999999999993
75,graphgen,large,2216.9,101.242,cold,200,2115.658
76,grayscale,large,14821.4,2687.118,cold,200,12134.282
77,fetchdata,large,91.9,86.438,warm,200,5.462000000000003
78,fastfouriertransform,large,372.3,5.5,warm,200,366.8
79,grayscale,large,14714.9,2692.595,cold,200,12022.305
80,pagerank,large,440.4,293.606,warm,200,146.79399999999998
81,genmatrix,small,6.3,0.105,warm,200,6.194999999999999
82,linpack,small,13.1,5.118,warm,200,7.981999999999999
83,pagerank,large,465.0,289.493,warm,200,175.507
84,graphgen,large,1790.9,64.939,warm,200,1725.961
85,linpack,medium,661.1,654.716,warm,200,6.3840000000000146
86,graphgen,small,1536.1,3.618,warm,200,1532.482
87,linpack,medium,1129.6,647.0630000000001,warm,200,482.5369999999998
88,genmatrix,small,8.1,0.162,warm,200,7.938
89,genmatrix,large,71.6,10.469,warm,200,61.13099999999999
90,fastfouriertransform,small,22.1,6.556,warm,200,15.544
91,mobilenet,small,27.5,21.974,warm,200,5.526
92,pagerank,small,18.7,10.315,warm,200,8.385
93,fetchdata,large,95.2,88.931,warm,200,6.2690000000000055
94,mobilenet,large,27.3,20.751,warm,200,6.5489999999999995
95,fetchdata,medium,86.7,82.27,warm,200,4.430000000000007
96,pagerank,large,368.5,288.692,warm,200,79.80799999999999
97,matrixmul,small,42.2,7.832999999999999,warm,200,34.367000000000004
98,pagerank,large,539.9,287.095,warm,200,252.80499999999995
99,genmatrix,large,35.4,0.805,warm,200,34.595
100,grayscale,medium,4128.9,82.077,cold,200,4046.8229999999994
101,linpack,medium,647.0,640.597,warm,200,6.40300000000002
102,pagerank,medium,167.4,46.801,warm,200,120.599
103,fastfouriertransform,small,20.9,4.872,warm,200,16.028
104,genmatrix,small,7.6,0.151,warm,200,7.449
105,linpack,small,253.5,5.059,warm,200,248.441
106,resnet,large,124.8,119.841,warm,200,4.959000000000003
107,genmatrix,large,36.9,0.8220000000000001,warm,200,36.077999999999996
108,genmatrix,small,8.5,0.153,warm,200,8.347
109,fastfouriertransform,large,20.9,4.893,warm,200,16.006999999999998
110,graphgen,small,27.8,2.87,warm,200,24.93
111,fastfouriertransform,small,20.7,4.902,warm,200,15.797999999999998
112,linpack,small,13.3,5.406000000000001,warm,200,7.894
113,pagerank,small,20.5,10.159,warm,200,10.341
114,grayscale,large,2889.4,2727.188,cold,200,162.212
115,mobilenet,small,28.0,22.669,warm,200,5.3309999999999995
116,pagerank,small,18.5,10.313,warm,200,8.187
117,resnet,large,125.1,120.874,warm,200,4.225999999999999
118,mobilenet,small,28.3,23.07,warm,200,5.23
119,mobilenet,medium,25.1,20.169,warm,200,4.931000000000001
120,genmatrix,small,7.7,0.15,warm,200,7.55
121,fastfouriertransform,large,20.9,4.91,warm,200,15.989999999999998
122,matrixmul,medium,526.2,508.15600000000006,warm,200,18.043999999999983
123,matrixmul,medium,937.2,506.442,warm,200,430.75800000000004
124,mobilenet,large,29.7,24.225,warm,200,5.474999999999998
125,graphgen,large,483.0,64.714,warm,200,418.286
126,fastfouriertransform,small,18.5,4.984999999999999,warm,200,13.515
127,matrixmul,large,549.1,5.633,warm,200,543.467
128,linpack,small,14.1,5.099,warm,200,9.001
