index,function,size,latency_ms,execution_time_sec,type,status,diff
0,fastfouriertransform,small,4523.6,8.007,cold,200,4515.593000000001
1,grayscale,small,2776.6,16.902,cold,200,2759.698
2,genmatrix,small,2657.8,10.439,cold,200,2647.3610000000003
3,fastfouriertransform,large,3938.0,5.276999999999999,cold,200,3932.723
4,pagerank,small,3805.4,278.001,cold,200,3527.3990000000003
5,resnet,medium,3596.0,177.751,cold,200,3418.249
6,graphgen,small,3411.6,4.982,cold,200,3406.618
7,fastfouriertransform,small,3144.1,5.021,cold,200,3139.0789999999997
8,genmatrix,large,1505.4,1.152,warm,200,1504.248
9,resnet,small,3279.6,178.47,cold,200,3101.13
10,pagerank,small,2617.6,10.712,cold,200,2606.888
11,pagerank,medium,2512.4,46.085,cold,200,2466.315
12,genmatrix,medium,667.5,0.301,warm,200,667.199
13,resnet,medium,2175.3,177.47,cold,200,1997.8300000000002
14,graphgen,small,2378.8,2.778,cold,200,2376.0220000000004
15,matrixmul,medium,4048.4,509.301,cold,200,3539.099
16,grayscale,small,12.1,6.909,warm,200,5.191
17,genmatrix,medium,10.4,0.208,warm,200,10.192
18,fastfouriertransform,small,932.3,5.4190000000000005,warm,200,926.881
19,matrixmul,small,3259.1,5.2490000000000006,cold,200,3253.851
20,linpack,medium,2863.1,644.248,cold,200,2218.852
21,resnet,medium,699.1,123.362,warm,200,575.738
22,graphgen,large,738.3,99.003,warm,200,639.2969999999999
23,mobilenet,large,1835.0,28.418,warm,200,1806.582
24,fastfouriertransform,medium,651.3,635.351,warm,200,15.948999999999955
25,fastfouriertransform,large,457.5,4.929,warm,200,452.571
26,grayscale,large,2867.7,2750.626,cold,200,117.07399999999961
27,resnet,medium,126.2,120.062,warm,200,6.138000000000005
28,resnet,small,126.5,120.715,warm,200,5.784999999999997
29,fastfouriertransform,small,18.1,4.949,warm,200,13.151000000000002
30,genmatrix,medium,10.4,0.211,warm,200,10.189
31,fastfouriertransform,small,19.5,4.981,warm,200,14.519
32,fastfouriertransform,medium,686.4,669.7220000000001,warm,200,16.677999999999884
33,grayscale,medium,1488.2,57.339,warm,200,1430.861
34,linpack,small,70.2,5.091,warm,200,65.10900000000001
35,linpack,medium,646.0,638.0649999999999,warm,200,7.935000000000059
36,genmatrix,large,38.2,0.8099999999999999,warm,200,37.39
37,grayscale,large,3484.9,2712.099,cold,200,772.8009999999999
38,fastfouriertransform,large,22.1,5.0200000000000005,warm,200,17.080000000000002
39,fetchdata,large,2629.0,126.118,cold,200,2502.882
40,genmatrix,small,7.2,0.12,warm,200,7.08
41,mobilenet,medium,23.1,18.185,warm,200,4.915000000000003
42,grayscale,large,5190.2,2673.851,cold,200,2516.3489999999997
43,pagerank,small,24.7,13.956,warm,200,10.744
44,linpack,small,12.4,5.104,warm,200,7.296
45,genmatrix,small,6.4,0.166,warm,200,6.234
46,linpack,medium,651.9,644.4250000000001,warm,200,7.474999999999909
47,grayscale,small,1432.9,7.029999999999999,warm,200,1425.8700000000001
48,genmatrix,large,48.3,1.13,warm,200,47.169999999999995
49,linpack,small,58.8,5.057,warm,200,53.742999999999995
50,mobilenet,medium,22.2,17.888,warm,200,4.311999999999998
51,mobilenet,small,23.7,17.849,warm,200,5.850999999999999
52,grayscale,small,432.9,7.1370000000000005,warm,200,425.763
53,genmatrix,large,51.3,1.184,warm,200,50.116
54,pagerank,large,461.1,315.865,warm,200,145.235
55,grayscale,large,5304.3,2678.96,cold,200,2625.34
56,resnet,medium,160.7,153.322,warm,200,7.377999999999986
57,resnet,medium,126.1,120.261,warm,200,5.838999999999999
58,linpack,small,15.9,8.257,warm,200,7.643000000000001
59,fetchdata,large,80.6,75.484,warm,200,5.116
60,mobilenet,small,30.4,23.6,warm,200,6.799999999999997
61,graphgen,small,39.3,4.401999999999999,warm,200,34.897999999999996
62,fetchdata,large,78.9,74.115,warm,200,4.785000000000011
63,fetchdata,large,78.6,74.26,warm,200,4.339999999999989
64,matrixmul,large,18.5,5.045,warm,200,13.455
65,fastfouriertransform,medium,617.0,603.717,warm,200,13.283000000000015
66,matrixmul,large,17.8,5.157,warm,200,12.643
67,mobilenet,large,30.9,23.621,warm,200,7.279
68,grayscale,large,5467.3,2676.077,cold,200,2791.223
69,graphgen,large,518.3,92.262,warm,200,426.03799999999995
70,fastfouriertransform,large,21.9,4.976,warm,200,16.924
71,pagerank,medium,67.9,44.456,warm,200,23.444000000000003
72,linpack,small,16.3,8.122,warm,200,8.178
73,grayscale,medium,1716.9,57.678,warm,200,1659.2220000000002
74,fetchdata,medium,87.0,82.214,warm,200,4.786000000000001
75,graphgen,large,487.3,62.97800000000001,warm,200,424.322
76,grayscale,large,6590.9,2692.7560000000003,cold,200,3898.1439999999993
77,fetchdata,large,128.9,82.357,warm,200,46.543000000000006
78,fastfouriertransform,large,22.6,7.819,warm,200,14.781000000000002
79,grayscale,large,11449.3,2684.246,cold,200,8765.054
80,pagerank,large,427.3,276.38,warm,200,150.92000000000002
81,genmatrix,small,6.0,0.104,warm,200,5.896
82,linpack,small,12.7,5.106,warm,200,7.593999999999999
83,pagerank,large,359.2,278.442,warm,200,80.75799999999998
84,graphgen,large,486.0,62.330000000000005,warm,200,423.67
85,linpack,medium,654.6,641.816,warm,200,12.783999999999992
86,graphgen,small,124.3,2.905,warm,200,121.395
87,linpack,medium,898.1,641.35,warm,200,256.75
88,genmatrix,small,5.4,0.106,warm,200,5.2940000000000005
89,genmatrix,large,35.7,0.79,warm,200,34.910000000000004
90,fastfouriertransform,small,21.5,7.699,warm,200,13.801
91,mobilenet,small,39.2,34.245999999999995,warm,200,4.954000000000008
92,pagerank,small,18.8,10.399,warm,200,8.401000000000002
93,fetchdata,large,79.8,75.292,warm,200,4.507999999999996
94,mobilenet,large,29.0,23.928,warm,200,5.071999999999999
95,fetchdata,medium,81.2,75.499,warm,200,5.701000000000008
96,pagerank,large,445.7,273.99,warm,200,171.70999999999998
97,matrixmul,small,25.5,8.012,warm,200,17.488
98,pagerank,large,382.2,287.434,warm,200,94.76599999999996
99,genmatrix,large,50.4,1.1900000000000002,warm,200,49.21
100,grayscale,medium,1803.1,58.654,warm,200,1744.446
101,linpack,medium,672.2,664.4830000000001,warm,200,7.7169999999999845
