index,function,size,latency_ms,execution_time_sec,type,status,diff
0,fastfouriertransform,small,4142.1,6.617,cold,200,4135.483
1,grayscale,small,2948.2,14.816,cold,200,2933.384
2,genmatrix,small,3051.6,9.798,cold,200,3041.802
3,fastfouriertransform,large,3554.9,4.921,cold,200,3549.9790000000003
4,pagerank,small,3202.4,268.562,cold,200,2933.838
5,resnet,medium,3019.0,180.512,cold,200,2838.488
6,graphgen,small,2006.1,4.289000000000001,cold,200,2001.811
7,fastfouriertransform,small,2760.5,4.938,cold,200,2755.562
8,genmatrix,large,1892.7,1.423,warm,200,1891.277
9,resnet,small,2348.2,122.519,cold,200,2225.6809999999996
10,pagerank,small,2016.9,11.075,cold,200,2005.825
11,pagerank,medium,1912.4,45.931,warm,200,1866.469
12,genmatrix,medium,1059.7,0.251,warm,200,1059.449
13,resnet,medium,1666.6,122.531,warm,200,1544.069
14,graphgen,small,426.1,2.733,warm,200,423.367
15,matrixmul,medium,4856.9,507.607,cold,200,4349.293
16,grayscale,small,13.4,7.064,warm,200,6.336
17,genmatrix,medium,107.9,0.235,warm,200,107.665
18,fastfouriertransform,small,548.9,4.965,warm,200,543.935
19,matrixmul,small,4068.4,4.984999999999999,cold,200,4063.415
20,linpack,medium,3636.2,655.042,cold,200,2981.158
21,resnet,medium,196.6,127.694,warm,200,68.90599999999999
22,graphgen,large,521.8,98.378,warm,200,423.42199999999997
23,mobilenet,large,2499.3,35.863,cold,200,2463.4370000000004
24,fastfouriertransform,medium,617.0,603.822,warm,200,13.177999999999997
25,fastfouriertransform,large,423.4,4.878,warm,200,418.522
26,grayscale,large,2846.9,2699.375,cold,200,147.5250000000001
27,resnet,medium,153.0,147.686,warm,200,5.313999999999993
28,resnet,small,133.6,125.022,warm,200,8.577999999999989
29,fastfouriertransform,small,17.7,4.879,warm,200,12.821
30,genmatrix,medium,12.7,0.292,warm,200,12.408
31,fastfouriertransform,small,17.2,4.865,warm,200,12.334999999999999
32,fastfouriertransform,medium,620.9,607.726,warm,200,13.173999999999978
33,grayscale,medium,1436.2,75.569,warm,200,1360.631
34,linpack,small,843.6,5.093999999999999,warm,200,838.506
35,linpack,medium,1286.2,640.8620000000001,warm,200,645.338
36,genmatrix,large,45.5,1.046,warm,200,44.454
37,grayscale,large,3440.4,2682.659,cold,200,757.741
38,fastfouriertransform,large,49.4,4.832999999999999,warm,200,44.567
39,fetchdata,large,3399.8,157.634,cold,200,3242.166
40,genmatrix,small,7.1,0.154,warm,200,6.946
41,mobilenet,medium,30.4,23.667,warm,200,6.732999999999997
42,grayscale,large,5168.3,2688.418,cold,200,2479.882
43,pagerank,small,25.7,15.452,warm,200,10.248
44,linpack,small,12.3,5.106,warm,200,7.194000000000001
45,genmatrix,small,6.6,0.161,warm,200,6.439
46,linpack,medium,658.0,651.0780000000001,warm,200,6.921999999999912
47,grayscale,small,1369.8,12.851,warm,200,1356.9489999999998
48,genmatrix,large,49.9,1.1969999999999998,warm,200,48.702999999999996
49,linpack,small,64.0,5.048,warm,200,58.952
50,mobilenet,medium,28.4,23.443,warm,200,4.956999999999997
51,mobilenet,small,28.6,22.988000000000003,warm,200,5.611999999999998
52,grayscale,small,387.0,11.6,warm,200,375.4
53,genmatrix,large,36.1,0.7829999999999999,warm,200,35.317
