index,function,size,latency_ms,execution_time_sec,type,status,diff
0,fastfouriertransform,small,2927.1,9.177,cold,200,2917.923
1,grayscale,small,2738.8,18.856,cold,200,2719.944
2,genmatrix,small,2597.4,6.477,cold,200,2590.9230000000002
3,fastfouriertransform,large,4073.3,5.386,cold,200,4067.914
4,pagerank,small,3085.2,262.43300000000005,cold,200,2822.767
5,resnet,medium,3780.6,135.552,cold,200,3645.048
6,graphgen,small,7508.9,5.005,cold,200,7503.8949999999995
7,fastfouriertransform,small,3229.2,4.966,cold,200,3224.234
8,genmatrix,large,2536.6,0.985,cold,200,2535.615
9,resnet,small,4421.1,121.817,cold,200,4299.283
10,pagerank,small,2812.6,10.098,cold,200,2802.502
11,pagerank,medium,2858.1,45.992,cold,200,2812.1079999999997
12,genmatrix,medium,2255.6,0.23,cold,200,2255.37
13,resnet,medium,4344.5,122.092,cold,200,4222.408
14,graphgen,small,7652.4,3.343,cold,200,7649.057
15,matrixmul,medium,7095.1,543.412,cold,200,6551.688
16,grayscale,small,2012.5,7.783,cold,200,2004.717
17,genmatrix,medium,1942.2,0.205,warm,200,1941.9950000000001
18,fastfouriertransform,small,3317.9,5.279,cold,200,3312.621
19,matrixmul,small,7473.7,5.574,cold,200,7468.126
20,linpack,medium,4017.3,655.098,cold,200,3362.202
21,resnet,medium,3575.3,131.33700000000002,cold,200,3443.963
22,graphgen,large,10211.6,66.592,cold,200,10145.008
23,mobilenet,large,3124.3,49.784,cold,200,3074.516
24,fastfouriertransform,medium,3008.9,629.422,cold,200,2379.478
25,fastfouriertransform,large,3647.9,4.890000000000001,cold,200,3643.01
26,grayscale,large,12723.3,2716.045,cold,200,10007.255
27,resnet,medium,3398.9,122.364,cold,200,3276.536
28,resnet,small,3091.5,156.81300000000002,cold,200,2934.687
29,fastfouriertransform,small,3442.0,4.964,cold,200,3437.036
30,genmatrix,medium,1365.0,0.235,warm,200,1364.765
31,fastfouriertransform,small,1385.1,5.728,warm,200,1379.3719999999998
32,fastfouriertransform,medium,1966.7,630.865,warm,200,1335.835
33,grayscale,medium,1236.0,58.2,warm,200,1177.8
34,linpack,small,5271.9,5.057,cold,200,5266.843
35,linpack,medium,5215.7,645.519,cold,200,4570.181
36,genmatrix,large,1162.4,0.927,warm,200,1161.4730000000002
37,grayscale,large,12146.3,2707.821,cold,200,9438.479
38,fastfouriertransform,large,1673.1,5.004,warm,200,1668.096
39,fetchdata,large,2010.0,130.953,cold,200,1879.047
40,genmatrix,small,869.1,0.0839999999999999,warm,200,869.0160000000001
41,mobilenet,medium,2354.6,23.338,cold,200,2331.2619999999997
42,grayscale,large,11949.4,2691.717,cold,200,9257.682999999999
43,pagerank,small,1149.9,10.783,warm,200,1139.1170000000002
44,linpack,small,4119.6,5.395,cold,200,4114.205
45,genmatrix,small,616.5,0.108,warm,200,616.392
46,linpack,medium,4013.1,642.4100000000001,cold,200,3370.6899999999996
47,grayscale,small,470.8,6.968,warm,200,463.832
48,genmatrix,large,426.4,0.927,warm,200,425.47299999999996
49,linpack,small,3220.6,5.107,cold,200,3215.493
50,mobilenet,medium,1852.7,24.818,warm,200,1827.882
51,mobilenet,small,1776.8,24.782,warm,200,1752.018
52,grayscale,small,203.4,7.674,warm,200,195.726
53,genmatrix,large,252.6,0.742,warm,200,251.858
54,pagerank,large,1036.6,292.128,warm,200,744.472
55,grayscale,large,11211.9,2690.131,cold,200,8521.769
56,resnet,medium,1378.6,137.94,warm,200,1240.6599999999999
57,resnet,medium,1483.1,182.186,warm,200,1300.914
58,linpack,small,4078.0,5.027,cold,200,4072.973
59,fetchdata,large,1090.8,78.479,warm,200,1012.3209999999999
60,mobilenet,small,1380.2,25.518,warm,200,1354.682
61,graphgen,small,7172.8,3.574,cold,200,7169.226000000001
62,fetchdata,large,1179.1,79.319,warm,200,1099.781
63,fetchdata,large,1048.3,77.68799999999999,warm,200,970.612
64,matrixmul,large,5768.5,5.532,cold,200,5762.968
65,fastfouriertransform,medium,1630.2,655.5269999999999,warm,200,974.6730000000001
66,matrixmul,large,5134.9,5.527,cold,200,5129.373
67,mobilenet,large,950.0,23.954,warm,200,926.046
68,grayscale,large,16092.4,2681.353,cold,200,13411.046999999999
69,graphgen,large,7394.7,63.383,cold,200,7331.317
70,fastfouriertransform,large,1386.6,5.162,warm,200,1381.4379999999999
71,pagerank,medium,242.8,46.894,warm,200,195.906
72,linpack,small,760.8,5.49,warm,200,755.31
73,grayscale,medium,10259.9,61.702,cold,200,10198.198
74,fetchdata,medium,419.8,77.56299999999999,warm,200,342.237
75,graphgen,large,7221.7,63.874,cold,200,7157.826
76,grayscale,large,21152.9,2695.487,cold,200,18457.413
77,fetchdata,large,511.2,80.893,warm,200,430.307
78,fastfouriertransform,large,21.7,6.446999999999999,warm,200,15.253
79,grayscale,large,21241.9,2667.693,cold,200,18574.207000000002
80,pagerank,large,420.1,279.795,warm,200,140.305
81,genmatrix,small,7.6,0.103,warm,200,7.497
82,linpack,small,252.7,9.426,warm,200,243.274
83,pagerank,large,589.3,284.457,warm,200,304.84299999999996
84,graphgen,large,6589.3,67.336,cold,200,6521.964
85,linpack,medium,1413.8,646.131,warm,200,767.669
86,graphgen,small,5004.7,3.087,cold,200,5001.612999999999
87,linpack,medium,3276.8,646.49,cold,200,2630.3100000000004
88,genmatrix,small,6.9,0.108,warm,200,6.792000000000001
89,genmatrix,large,82.1,0.767,warm,200,81.333
90,fastfouriertransform,small,17.6,4.946,warm,200,12.654000000000002
91,mobilenet,small,23.4,17.912999999999997,warm,200,5.487000000000002
92,pagerank,small,151.8,10.105,warm,200,141.69500000000002
93,fetchdata,large,82.6,77.56,warm,200,5.039999999999992
94,mobilenet,large,23.1,17.769,warm,200,5.331000000000003
95,fetchdata,medium,83.6,79.73700000000001,warm,200,3.8629999999999853
96,pagerank,large,404.0,280.85900000000004,warm,200,123.14099999999996
97,matrixmul,small,3596.5,5.547,cold,200,3590.953
98,pagerank,large,727.6,285.45500000000004,warm,200,442.145
99,genmatrix,large,91.7,0.864,warm,200,90.836
100,grayscale,medium,8985.6,58.694,cold,200,8926.906
101,linpack,medium,3228.8,652.2139999999999,cold,200,2576.5860000000002
102,pagerank,medium,159.3,45.831,warm,200,113.46900000000001
103,fastfouriertransform,small,20.2,4.923,warm,200,15.277
104,genmatrix,small,7.5,0.104,warm,200,7.396
105,linpack,small,3034.9,5.168,cold,200,3029.732
106,resnet,large,182.5,173.289,warm,200,9.211000000000013
107,genmatrix,large,84.8,0.777,warm,200,84.023
108,genmatrix,small,44.5,0.112,warm,200,44.388
109,fastfouriertransform,large,20.1,4.994,warm,200,15.106000000000002
110,graphgen,small,3335.2,3.045,cold,200,3332.1549999999997
111,fastfouriertransform,small,19.0,4.871,warm,200,14.129
112,linpack,small,14.2,5.164000000000001,warm,200,9.035999999999998
113,pagerank,small,17.8,9.902,warm,200,7.8980000000000015
114,grayscale,large,19298.6,2680.713,cold,200,16617.887
115,mobilenet,small,23.2,17.453,warm,200,5.747
116,pagerank,small,17.9,10.072,warm,200,7.827999999999999
117,resnet,large,128.3,122.767,warm,200,5.5330000000000155
118,mobilenet,small,24.5,17.661,warm,200,6.838999999999999
119,mobilenet,medium,22.7,17.545,warm,200,5.154999999999998
120,genmatrix,small,8.4,0.11,warm,200,8.290000000000001
121,fastfouriertransform,large,20.7,4.908,warm,200,15.791999999999998
122,matrixmul,medium,2866.6,507.102,cold,200,2359.498
123,matrixmul,medium,3333.7,510.197,cold,200,2823.5029999999997
124,mobilenet,large,23.0,17.478,warm,200,5.5219999999999985
125,graphgen,large,4642.5,72.722,cold,200,4569.778
126,fastfouriertransform,small,21.3,5.3740000000000006,warm,200,15.926
127,matrixmul,large,1522.9,5.547,warm,200,1517.353
128,linpack,small,14.1,5.131,warm,200,8.969
129,genmatrix,small,9.1,0.115,warm,200,8.985
130,genmatrix,large,81.2,0.995,warm,200,80.205
131,mobilenet,small,27.3,17.451,warm,200,9.849
132,matrixmul,small,1262.3,5.031,warm,200,1257.269
133,grayscale,medium,7390.4,57.333000000000006,cold,200,7333.067
134,genmatrix,small,7.2,0.108,warm,200,7.0920000000000005
135,mobilenet,large,23.0,17.935,warm,200,5.065000000000001
136,fastfouriertransform,small,23.6,4.917000000000001,warm,200,18.683
137,pagerank,small,30.2,17.963,warm,200,12.236999999999998
138,fastfouriertransform,small,18.5,4.933,warm,200,13.567
139,fetchdata,medium,83.1,78.17999999999999,warm,200,4.920000000000002
140,mobilenet,medium,24.1,17.787,warm,200,6.313000000000002
141,genmatrix,medium,17.7,0.1979999999999999,warm,200,17.502
142,graphgen,small,1229.0,3.423,warm,200,1225.577
143,matrixmul,small,733.6,5.572,warm,200,728.028
144,matrixmul,medium,1212.3,523.894,warm,200,688.406
145,mobilenet,medium,22.7,17.811,warm,200,4.888999999999999
146,matrixmul,large,2206.9,5.478000000000001,cold,200,2201.422
147,pagerank,large,396.8,314.351,warm,200,82.44900000000001
148,mobilenet,small,22.3,17.592,warm,200,4.708000000000002
149,genmatrix,medium,20.4,0.288,warm,200,20.112
150,genmatrix,small,8.3,0.1389999999999999,warm,200,8.161000000000001
151,resnet,large,169.1,163.351,warm,200,5.748999999999995
152,pagerank,small,159.1,10.396,warm,200,148.704
153,linpack,small,19.5,9.548,warm,200,9.952
154,graphgen,large,3021.6,99.385,cold,200,2922.2149999999997
155,mobilenet,large,26.8,21.415,warm,200,5.385000000000002
156,pagerank,small,17.2,10.166,warm,200,7.033999999999999
157,graphgen,large,3420.6,68.845,cold,200,3351.755
158,fastfouriertransform,small,18.9,4.939,warm,200,13.960999999999999
159,fastfouriertransform,large,23.6,6.43,warm,200,17.17
160,fastfouriertransform,large,24.0,8.097999999999999,warm,200,15.902000000000001
161,genmatrix,medium,20.7,0.298,warm,200,20.402
162,fastfouriertransform,large,20.9,6.428999999999999,warm,200,14.471
163,genmatrix,large,94.0,1.224,warm,200,92.776
164,resnet,small,207.4,197.362,warm,200,10.038000000000011
165,resnet,small,162.4,157.914,warm,200,4.486000000000018
166,matrixmul,large,1196.4,5.356,warm,200,1191.044
167,resnet,large,215.9,161.17999999999998,warm,200,54.72000000000003
168,pagerank,medium,69.1,46.452,warm,200,22.647999999999996
169,grayscale,small,25.1,14.609,warm,200,10.491000000000001
170,linpack,small,13.3,5.089,warm,200,8.211
171,grayscale,medium,69.5,58.21,warm,200,11.29
172,fetchdata,large,93.2,87.618,warm,200,5.582000000000008
173,grayscale,medium,67.5,57.72,warm,200,9.780000000000001
174,linpack,small,12.7,5.114999999999999,warm,200,7.585
175,graphgen,medium,2508.1,14.634,cold,200,2493.466
176,resnet,large,129.7,122.851,warm,200,6.8489999999999895
177,fastfouriertransform,small,22.4,7.864,warm,200,14.535999999999998
178,pagerank,small,70.7,11.872,warm,200,58.828
179,pagerank,medium,77.5,46.468,warm,200,31.031999999999996
180,fetchdata,medium,93.2,88.22099999999999,warm,200,4.979000000000013
181,fastfouriertransform,small,21.5,8.19,warm,200,13.31
182,linpack,medium,657.2,645.347,warm,200,11.853000000000065
183,fetchdata,medium,92.6,86.964,warm,200,5.635999999999996
184,pagerank,large,361.5,284.925,warm,200,76.57499999999999
185,grayscale,large,2920.5,2776.871,cold,200,143.6289999999999
186,pagerank,small,276.2,10.602,warm,200,265.598
187,pagerank,medium,283.3,48.899,warm,200,234.401
188,fastfouriertransform,small,21.1,8.082,warm,200,13.018
189,grayscale,small,2636.2,7.087000000000001,cold,200,2629.113
190,fastfouriertransform,large,19.8,4.930000000000001,warm,200,14.870000000000001
191,pagerank,small,99.0,11.142,warm,200,87.858
192,grayscale,medium,2588.1,78.826,cold,200,2509.274
193,resnet,small,125.1,119.917,warm,200,5.182999999999993
194,linpack,small,14.5,5.156,warm,200,9.344000000000001
195,grayscale,large,8032.6,2791.159,cold,200,5241.441000000001
196,mobilenet,medium,28.8,23.75,warm,200,5.050000000000001
197,graphgen,small,47.1,6.420999999999999,warm,200,40.679
198,matrixmul,medium,530.5,514.1719999999999,warm,200,16.328000000000088
199,graphgen,small,38.1,4.291,warm,200,33.809
200,linpack,small,12.0,5.191000000000001,warm,200,6.808999999999999
